,month,Biodiversity Park,Chacha Nehru Park,Imlibun Park,Jalagam Vengal Rao Park,Krishnakanth Park,Lumbini Park,Mahavir Harina Vanasthali National Park,Melkote Park,Public Garden Park,Rural Technology Park,Sanjeevaiah Park,Saroor Nagar Park,Sundarayya Park,lake view park
0,1,0.025,0.002,-0.002,0.005,0.009,0.003,-0.003,0.0,0.003,-0.002,0.008,-0.003,-0.002,0.005
1,2,0.0805,0.1085,0.0875,0.125,0.1175,0.077,0.17049999999999998,0.095,0.119,0.14450000000000002,0.11549999999999999,0.068,0.1345,0.1225
2,3,0.086,0.1195,0.091,0.1475,0.123,0.1015,0.1585,0.0995,0.1245,0.14800000000000002,0.14550000000000002,0.0665,0.1455,0.1245
3,4,0.0925,0.136,0.109,0.16949999999999998,0.14350000000000002,0.106,0.1725,0.11699999999999999,0.132,0.15,0.16599999999999998,0.0915,0.169,0.145
4,5,0.088,0.14300000000000002,0.11699999999999999,0.17099999999999999,0.137,0.109,0.21300000000000002,0.1235,0.1535,0.16549999999999998,0.16,0.101,0.1865,0.143
5,6,0.05499999999999999,0.0775,0.0665,0.1,0.09749999999999999,0.067,0.1475,0.069,0.078,0.08299999999999999,0.0915,0.0775,0.0915,0.066
6,8,0.134,0.11099999999999999,0.147,0.10200000000000001,0.1785,0.0615,0.2465,0.1395,0.119,0.2215,0.1105,0.07200000000000001,0.20900000000000002,0.10300000000000001
7,10,0.175,0.165,0.14,0.181,0.168,0.109,0.303,0.126,0.167,0.273,0.154,0.101,0.188,0.173
8,11,0.152,0.151,0.139,0.176,0.157,0.114,0.281,0.121,0.16,0.245,0.154,0.091,0.177,0.164
9,12,0.1195,0.138,0.109,0.1585,0.14500000000000002,0.0935,0.2425,0.108,0.147,0.1955,0.14300000000000002,0.08399999999999999,0.154,0.1485
