,month,Biodiversity Park,Chacha Nehru Park,Imlibun Park,Jalagam Vengal Rao Park,Krishnakanth Park,Lumbini Park,Mahavir Harina Vanasthali National Park,Melkote Park,Public Garden Park,Rural Technology Park,Sanjeevaiah Park,Saroor Nagar Park,Sundarayya Park,lake view park
0,1,0.0775,0.088,0.129,0.1135,0.10250000000000001,0.07,0.181,0.08,0.0945,0.14450000000000002,0.075,0.0775,0.107,0.098
1,2,0.0775,0.0915,0.1315,0.118,0.102,0.0765,0.1585,0.081,0.0985,0.1345,0.08399999999999999,0.0915,0.1205,0.10350000000000001
2,3,0.081,0.10300000000000001,0.14150000000000001,0.127,0.11299999999999999,0.08149999999999999,0.146,0.0915,0.10350000000000001,0.139,0.088,0.0945,0.127,0.1205
3,4,0.0935,0.14250000000000002,0.1625,0.172,0.148,0.107,0.19,0.1115,0.1215,0.1725,0.1195,0.143,0.16849999999999998,0.14100000000000001
4,5,0.0675,0.1245,0.187,0.124,0.10850000000000001,0.11599999999999999,0.14850000000000002,0.1115,0.1315,0.155,0.11800000000000001,0.201,0.182,0.1405
5,6,0.121,0.148,0.1885,0.179,0.157,0.126,0.258,0.129,0.1375,0.2315,0.128,0.273,0.177,0.1265
6,8,0.042,0.114,0.056,0.033,0.15,0.117,0.134,0.121,0.135,0.238,0.116,0.193,0.122,0.121
7,9,0.164,0.14950000000000002,0.1515,0.1815,0.146,0.1455,0.253,0.14200000000000002,0.137,0.215,0.166,0.14100000000000001,0.16,0.1205
8,10,0.14,0.163,0.188,0.187,0.1815,0.1235,0.217,0.1,0.1555,0.27,0.1555,0.1005,0.1855,0.14150000000000001
9,11,0.1075,0.14200000000000002,0.16749999999999998,0.16349999999999998,0.156,0.1,0.1915,0.11,0.14100000000000001,0.21100000000000002,0.137,0.097,0.16549999999999998,0.14250000000000002
10,12,0.087,0.1245,0.14750000000000002,0.14650000000000002,0.14300000000000002,0.0915,0.159,0.0975,0.1265,0.1655,0.1305,0.082,0.14100000000000001,0.1295
