,month,Biodiversity Park,Chacha Nehru Park,Imlibun Park,Jalagam Vengal Rao Park,Krishnakanth Park,Lumbini Park,Mahavir Harina Vanasthali National Park,Melkote Park,Public Garden Park,Rural Technology Park,Sanjeevaiah Park,Saroor Nagar Park,Sundarayya Park,lake view park
0,1,0.09,0.108,0.09,0.1235,0.124,0.08549999999999999,0.188,0.094,0.11549999999999999,0.1585,0.11199999999999999,0.07050000000000001,0.135,0.118
1,2,0.082,0.116,0.105,0.142,0.127,0.074,0.172,0.095,0.117,0.148,0.116,0.056,0.163,0.127
2,3,0.0885,0.1245,0.1245,0.145,0.137,0.1,0.158,0.10400000000000001,0.1255,0.147,0.138,0.08049999999999999,0.1525,0.1405
3,4,0.09,0.136,0.14,0.16049999999999998,0.14250000000000002,0.1165,0.16399999999999998,0.113,0.1315,0.15749999999999997,0.148,0.0945,0.16249999999999998,0.14500000000000002
4,5,0.1305,0.1655,0.1465,0.1945,0.16599999999999998,0.135,0.20650000000000002,0.126,0.1585,0.19,0.17149999999999999,0.11599999999999999,0.1965,0.1695
5,6,0.178,0.16949999999999998,0.16,0.16949999999999998,0.2025,0.138,0.2045,0.14250000000000002,0.175,0.297,0.14500000000000002,0.1285,0.1595,0.1515
6,7,0.069,0.057,0.094,0.086,0.108,0.081,0.259,0.083,0.105,0.259,0.098,0.17,0.161,0.049
7,8,0.16049999999999998,0.12,0.08299999999999999,0.21650000000000003,0.20800000000000002,0.1565,0.319,0.1565,0.1195,0.32199999999999995,0.1765,0.147,0.2135,0.106
8,9,0.157,0.186,0.16,0.216,0.184,0.168,0.231,0.173,0.19,0.19,0.213,0.153,0.187,0.198
9,10,0.1765,0.1645,0.1185,0.1865,0.15799999999999997,0.137,0.3065,0.136,0.138,0.29,0.1755,0.1215,0.1765,0.11050000000000001
10,11,0.022,0.083,0.057,0.065,0.06,0.076,0.05,0.032,0.079,0.012,0.032,0.019,0.049,0.104
11,12,0.0895,0.12,0.094,0.1345,0.1345,0.109,0.195,0.0985,0.136,0.144,0.1125,0.0975,0.08700000000000001,0.121
