,month,Biodiversity Park,Chacha Nehru Park,Imlibun Park,Jalagam Vengal Rao Park,Krishnakanth Park,Lumbini Park,Mahavir Harina Vanasthali National Park,Melkote Park,Public Garden Park,Rural Technology Park,Sanjeevaiah Park,Saroor Nagar Park,Sundarayya Park,lake view park
0,1,0.0865,0.1175,0.14100000000000001,0.14400000000000002,0.138,0.097,0.1815,0.097,0.13,0.1765,0.11649999999999999,0.0655,0.1425,0.121
1,2,0.0795,0.1085,0.1185,0.11649999999999999,0.133,0.0895,0.1285,0.07300000000000001,0.1215,0.1535,0.123,0.075,0.1625,0.118
2,3,0.08399999999999999,0.133,0.1795,0.17099999999999999,0.14300000000000002,0.113,0.154,0.1085,0.1305,0.1735,0.126,0.087,0.17049999999999998,0.149
3,4,0.092,0.143,0.147,0.186,0.146,0.124,0.15,0.118,0.133,0.164,0.158,0.094,0.17,0.152
4,5,0.0925,0.1475,0.14500000000000002,0.1855,0.156,0.11249999999999999,0.152,0.116,0.14100000000000001,0.1725,0.14950000000000002,0.1055,0.185,0.1565
5,6,0.087,0.091,0.167,0.07750000000000001,0.082,0.101,0.1395,0.069,0.065,0.1215,0.0845,0.14,0.0975,0.083
6,7,0.201,0.207,0.182,0.237,0.22,0.164,0.342,0.157,0.211,0.352,0.193,0.176,0.231,0.204
7,8,0.058499999999999996,0.081,0.047,0.08,0.0975,0.0795,0.09,0.091,0.0645,0.091,0.1125,0.0435,0.0995,0.083
8,9,0.153,0.011,0.137,0.024,0.19,0.159,0.305,0.136,0.006,0.351,0.186,0.147,0.225,0.171
9,10,0.172,0.14350000000000002,0.152,0.1915,0.15,0.135,0.2915,0.15100000000000002,0.1875,0.30200000000000005,0.1755,0.1045,0.1995,0.1895
10,11,0.147,0.148,0.101,0.172,0.165,0.114,0.281,0.12,0.155,0.26,0.138,0.109,0.177,0.164
11,12,0.107,0.1265,0.107,0.14700000000000002,0.14650000000000002,0.0895,0.22499999999999998,0.10200000000000001,0.1305,0.202,0.1345,0.087,0.1575,0.137
