,month,Biodiversity Park,Chacha Nehru Park,Imlibun Park,Jalagam Vengal Rao Park,Krishnakanth Park,Lumbini Park,Mahavir Harina Vanasthali National Park,Melkote Park,Public Garden Park,Rural Technology Park,Sanjeevaiah Park,Saroor Nagar Park,Sundarayya Park,lake view park
0,1,0.076,0.093,0.1385,0.10550000000000001,0.10600000000000001,0.0795,0.181,0.084,0.1185,0.18,0.068,0.04,0.111,0.1135
1,2,0.0745,0.0915,0.1245,0.08449999999999999,0.10450000000000001,0.0775,0.132,0.0665,0.11449999999999999,0.1515,0.089,0.0515,0.129,0.10650000000000001
2,3,0.08,0.10450000000000001,0.1795,0.11499999999999999,0.1095,0.094,0.162,0.0965,0.11699999999999999,0.17149999999999999,0.07949999999999999,0.052000000000000005,0.134,0.133
3,4,0.088,0.116,0.152,0.129,0.116,0.103,0.157,0.107,0.12,0.162,0.111,0.07,0.14,0.136
4,5,0.0875,0.12,0.14300000000000002,0.138,0.1225,0.0995,0.158,0.1065,0.1305,0.16899999999999998,0.0915,0.08399999999999999,0.14700000000000002,0.1405
5,6,0.083,0.088,0.168,0.0775,0.082,0.094,0.139,0.0685,0.0645,0.1195,0.081,0.1265,0.092,0.0815
6,7,0.18,0.155,0.162,0.186,0.187,0.144,0.325,0.133,0.194,0.356,0.141,0.147,0.181,0.183
7,8,0.058499999999999996,0.08249999999999999,0.0465,0.08,0.096,0.081,0.0905,0.087,0.0655,0.092,0.109,0.0445,0.0965,0.0825
8,9,0.134,0.011,0.101,0.025,0.153,0.136,0.289,0.114,0.01,0.36,0.112,0.107,0.184,0.151
9,10,0.16349999999999998,0.1205,0.131,0.154,0.129,0.1215,0.28,0.1345,0.1725,0.30600000000000005,0.129,0.07999999999999999,0.16449999999999998,0.1725
10,11,0.128,0.111,0.079,0.129,0.133,0.094,0.26,0.106,0.14,0.266,0.076,0.074,0.139,0.147
11,12,0.0955,0.0975,0.08499999999999999,0.10350000000000001,0.10750000000000001,0.07050000000000001,0.20950000000000002,0.09,0.119,0.20350000000000001,0.07100000000000001,0.051,0.1215,0.1225
