,month,Biodiversity Park,Chacha Nehru Park,Imlibun Park,Jalagam Vengal Rao Park,Krishnakanth Park,Lumbini Park,Mahavir Harina Vanasthali National Park,Melkote Park,Public Garden Park,Rural Technology Park,Sanjeevaiah Park,Saroor Nagar Park,Sundarayya Park,lake view park
0,1,0.0695,0.0695,0.155,0.0865,0.081,0.049,0.1755,0.068,0.0885,0.151,0.035500000000000004,0.054,0.08499999999999999,0.087
1,2,0.07100000000000001,0.076,0.1545,0.09,0.0825,0.0595,0.1585,0.0715,0.092,0.1355,0.0435,0.07050000000000001,0.0955,0.0935
2,3,0.0755,0.08299999999999999,0.158,0.0955,0.089,0.065,0.15,0.08299999999999999,0.095,0.14150000000000001,0.051500000000000004,0.07300000000000001,0.1065,0.10750000000000001
3,4,0.078,0.108,0.1975,0.1275,0.111,0.08399999999999999,0.1865,0.1,0.1115,0.173,0.0675,0.12,0.134,0.1225
4,5,0.0625,0.1075,0.2165,0.109,0.091,0.097,0.14600000000000002,0.10350000000000001,0.1245,0.154,0.0945,0.1985,0.14450000000000002,0.126
5,6,0.10750000000000001,0.1245,0.21,0.1485,0.134,0.11599999999999999,0.2475,0.1185,0.1315,0.23,0.097,0.271,0.1465,0.11549999999999999
6,8,0.044,0.117,0.059,0.033,0.135,0.104,0.131,0.118,0.127,0.236,0.11,0.187,0.121,0.115
7,9,0.1605,0.1355,0.1575,0.16499999999999998,0.14,0.145,0.248,0.1395,0.1365,0.224,0.1275,0.1405,0.15450000000000003,0.123
8,10,0.1095,0.123,0.21300000000000002,0.15,0.1505,0.10500000000000001,0.21200000000000002,0.0915,0.14200000000000002,0.271,0.082,0.0805,0.148,0.1285
9,11,0.08299999999999999,0.10500000000000001,0.186,0.124,0.1255,0.079,0.1875,0.095,0.1285,0.20900000000000002,0.0655,0.0625,0.131,0.1285
10,12,0.07050000000000001,0.0985,0.16199999999999998,0.11299999999999999,0.11249999999999999,0.07350000000000001,0.16,0.08549999999999999,0.1205,0.1625,0.07050000000000001,0.0555,0.113,0.11549999999999999
