,month,Biodiversity Park,Chacha Nehru Park,Imlibun Park,Jalagam Vengal Rao Park,Krishnakanth Park,Lumbini Park,Mahavir Harina Vanasthali National Park,Melkote Park,Public Garden Park,Rural Technology Park,Sanjeevaiah Park,Saroor Nagar Park,Sundarayya Park,lake view park
0,1,0.08449999999999999,0.0885,0.0825,0.095,0.097,0.068,0.1795,0.08549999999999999,0.107,0.159,0.0635,0.0475,0.109,0.1095
1,2,0.078,0.091,0.106,0.092,0.096,0.053,0.163,0.084,0.108,0.15,0.053,0.021,0.123,0.112
2,3,0.08349999999999999,0.099,0.13,0.105,0.1055,0.08149999999999999,0.1575,0.0935,0.1105,0.1455,0.0795,0.0515,0.123,0.124
3,4,0.08499999999999999,0.10600000000000001,0.14950000000000002,0.11499999999999999,0.10700000000000001,0.0955,0.16049999999999998,0.1,0.1185,0.1555,0.095,0.062,0.1305,0.128
4,5,0.11349999999999999,0.1225,0.16949999999999998,0.135,0.11699999999999999,0.11699999999999999,0.1965,0.1135,0.14300000000000002,0.1865,0.1035,0.074,0.1565,0.147
5,6,0.16449999999999998,0.14550000000000002,0.1635,0.132,0.172,0.132,0.19399999999999998,0.136,0.16299999999999998,0.294,0.1255,0.107,0.14500000000000002,0.1375
6,7,0.069,0.057,0.103,0.085,0.104,0.077,0.25,0.082,0.103,0.252,0.095,0.15,0.149,0.05
7,8,0.14250000000000002,0.1045,0.08249999999999999,0.1655,0.16849999999999998,0.1355,0.2975,0.136,0.112,0.32599999999999996,0.102,0.119,0.16799999999999998,0.10250000000000001
8,9,0.151,0.17,0.156,0.193,0.168,0.165,0.226,0.164,0.183,0.188,0.188,0.144,0.171,0.19
9,10,0.15450000000000003,0.1245,0.1075,0.14450000000000002,0.1295,0.11199999999999999,0.2895,0.118,0.1325,0.2915,0.098,0.0905,0.14550000000000002,0.10350000000000001
10,11,0.023,0.083,0.052,0.064,0.055,0.079,0.05,0.033,0.081,0.011,0.031,0.018,0.05,0.104
11,12,0.09,0.0985,0.0895,0.10600000000000001,0.11649999999999999,0.095,0.187,0.08399999999999999,0.1235,0.151,0.0865,0.069,0.07,0.1165
