,month,Biodiversity Park,Chacha Nehru Park,Imlibun Park,Jalagam Vengal Rao Park,Krishnakanth Park,Lumbini Park,Mahavir Harina Vanasthali National Park,Melkote Park,Public Garden Park,Rural Technology Park,Sanjeevaiah Park,Saroor Nagar Park,Sundarayya Park,lake view park
0,1,0.061,0.077,0.1435,0.0915,0.097,0.056499999999999995,0.137,0.072,0.096,0.131,0.056,0.052000000000000005,0.0925,0.091
1,2,0.064,0.0865,0.1515,0.0985,0.10200000000000001,0.0685,0.128,0.0815,0.106,0.1375,0.0605,0.056,0.10700000000000001,0.1
2,3,0.0645,0.0955,0.1605,0.1045,0.1015,0.08349999999999999,0.134,0.0925,0.111,0.1325,0.0825,0.049,0.1275,0.11599999999999999
3,4,0.0865,0.1,0.152,0.10700000000000001,0.10400000000000001,0.0955,0.14800000000000002,0.0945,0.1135,0.126,0.0985,0.08,0.121,0.1115
4,5,0.086,0.098,0.147,0.106,0.107,0.073,0.146,0.091,0.107,0.147,0.084,0.063,0.11,0.087
5,6,0.07999999999999999,0.10200000000000001,0.123,0.1175,0.093,0.0955,0.15949999999999998,0.1055,0.0945,0.08,0.1135,0.10400000000000001,0.1305,0.106
6,8,0.045,0.145,0.064,0.162,0.139,0.136,0.23,0.125,0.134,0.109,0.142,0.145,0.156,0.125
7,9,0.08449999999999999,0.0925,0.1235,0.097,0.1105,0.0905,0.175,0.11149999999999999,0.108,0.2045,0.063,0.0785,0.10650000000000001,0.107
8,10,0.10700000000000001,0.111,0.1395,0.1235,0.13,0.10550000000000001,0.1795,0.10350000000000001,0.138,0.22,0.091,0.079,0.1225,0.122
9,11,0.127,0.127,0.15000000000000002,0.14200000000000002,0.1395,0.0895,0.276,0.111,0.14500000000000002,0.26849999999999996,0.08449999999999999,0.0845,0.129,0.137
10,12,0.0795,0.0865,0.129,0.11449999999999999,0.108,0.07400000000000001,0.1855,0.0895,0.1235,0.1835,0.064,0.041999999999999996,0.11399999999999999,0.105
