,month,Biodiversity Park,Chacha Nehru Park,Imlibun Park,Jalagam Vengal Rao Park,Krishnakanth Park,Lumbini Park,Mahavir Harina Vanasthali National Park,Melkote Park,Public Garden Park,Rural Technology Park,Sanjeevaiah Park,Saroor Nagar Park,Sundarayya Park,lake view park
0,1,0.022,0.002,-0.002,0.005,0.009,0.003,-0.003,0.001,0.003,-0.001,0.008,-0.003,-0.001,0.005
1,2,0.08,0.082,0.096,0.08499999999999999,0.086,0.058499999999999996,0.1625,0.0805,0.10250000000000001,0.14450000000000002,0.059,0.036000000000000004,0.1065,0.11
2,3,0.08499999999999999,0.0935,0.086,0.1015,0.097,0.0815,0.157,0.0875,0.1085,0.14700000000000002,0.0915,0.0365,0.1185,0.118
3,4,0.0895,0.1095,0.1055,0.1235,0.109,0.087,0.16849999999999998,0.105,0.12,0.1485,0.11599999999999999,0.0605,0.1355,0.131
4,5,0.085,0.11499999999999999,0.111,0.126,0.1085,0.0915,0.201,0.11,0.14,0.16,0.1075,0.069,0.147,0.132
5,6,0.053500000000000006,0.0665,0.065,0.08,0.0805,0.065,0.14300000000000002,0.0675,0.076,0.08099999999999999,0.0735,0.0675,0.086,0.064
6,8,0.126,0.106,0.126,0.0905,0.138,0.0655,0.2395,0.124,0.1195,0.2295,0.079,0.08,0.16449999999999998,0.0985
7,10,0.146,0.121,0.124,0.132,0.124,0.081,0.285,0.109,0.149,0.286,0.085,0.062,0.143,0.147
8,11,0.128,0.115,0.128,0.125,0.117,0.084,0.26,0.104,0.143,0.255,0.087,0.046,0.134,0.138
9,12,0.1105,0.1055,0.0965,0.1135,0.10300000000000001,0.07100000000000001,0.22849999999999998,0.0925,0.1305,0.20850000000000002,0.086,0.054000000000000006,0.1245,0.1295
