,month,Biodiversity Park,Chacha Nehru Park,Imlibun Park,Jalagam Vengal Rao Park,Krishnakanth Park,Lumbini Park,Mahavir Harina Vanasthali National Park,Melkote Park,Public Garden Park,Rural Technology Park,Sanjeevaiah Park,Saroor Nagar Park,Sundarayya Park,lake view park
0,1,303.0,301.5,302.5,304.0,303.0,304.0,302.5,303.0,302.5,302.0,301.0,301.0,303.5,303.0
1,2,298.5,305.0,301.0,305.0,305.5,304.5,304.0,301.5,301.0,304.5,298.5,301.5,301.5,305.0
2,3,312.0,310.0,310.5,309.5,310.5,308.5,312.0,310.5,310.5,311.5,306.5,309.0,310.5,310.0
3,4,313.5,312.5,311.5,311.0,312.5,309.0,312.5,313.5,312.0,314.0,306.5,310.0,312.5,311.5
4,5,309.0,308.5,307.0,308.5,309.0,306.0,309.5,306.0,307.5,310.0,307.5,310.5,309.5,304.0
5,6,308.0,307.0,306.5,306.0,307.5,305.5,305.0,306.5,306.5,307.5,304.0,306.0,306.0,305.5
6,8,304.0,304.0,304.0,304.0,304.0,304.0,298.0,304.0,304.0,297.0,304.0,304.0,304.0,304.0
7,9,304.0,304.0,304.0,304.0,304.0,304.0,297.5,304.0,304.0,296.5,302.0,304.0,304.0,304.0
8,10,308.0,308.0,308.5,306.5,307.5,306.5,307.0,306.0,309.0,306.0,304.5,304.5,308.0,307.5
9,11,305.0,304.5,305.5,303.0,298.0,301.0,307.0,302.0,305.0,304.5,299.0,304.5,303.5,304.0
10,12,304.0,304.0,303.0,304.0,304.0,301.5,304.5,303.0,303.0,302.5,304.0,303.0,302.5,302.5
