,month,Biodiversity Park,Chacha Nehru Park,Imlibun Park,Jalagam Vengal Rao Park,Krishnakanth Park,Lumbini Park,Mahavir Harina Vanasthali National Park,Melkote Park,Public Garden Park,Rural Technology Park,Sanjeevaiah Park,Saroor Nagar Park,Sundarayya Park,lake view park
0,1,304.0,301.5,303.0,303.0,303.0,303.0,305.0,303.0,303.0,303.0,303.0,301.5,302.0,303.0
1,2,308.0,306.5,307.0,306.0,307.0,304.5,309.5,307.0,307.0,307.5,302.0,305.0,306.5,306.0
2,3,317.0,315.5,315.5,314.5,316.0,312.0,319.0,316.5,315.5,318.5,310.0,312.5,314.5,314.5
3,4,310.0,309.5,309.5,308.5,309.5,308.0,312.0,309.5,310.0,311.0,307.0,308.0,309.0,309.0
4,5,303.0,303.0,303.0,303.0,303.0,303.0,312.0,303.0,303.0,313.0,303.0,308.0,303.0,303.0
5,6,301.5,306.0,305.0,304.5,303.5,305.5,306.5,307.0,307.0,303.0,305.0,303.0,305.5,304.5
6,8,303.0,297.0,303.0,303.0,303.0,303.0,294.0,300.0,297.0,303.0,303.0,298.0,301.0,303.0
7,9,304.0,304.5,305.0,304.0,304.0,304.5,303.0,305.0,305.0,303.5,303.0,304.0,304.0,304.5
8,10,303.5,303.5,303.5,303.0,303.5,303.5,302.0,303.5,304.0,302.5,302.5,303.0,303.5,303.5
9,11,303.5,298.5,302.5,298.5,299.5,299.0,302.5,303.5,299.5,302.5,298.5,303.0,303.0,299.0
10,12,300.0,299.0,297.5,298.5,293.0,295.0,290.5,299.5,300.0,292.5,294.5,297.0,296.0,291.5
