,month,Biodiversity Park,Chacha Nehru Park,Imlibun Park,Jalagam Vengal Rao Park,Krishnakanth Park,Lumbini Park,Mahavir Harina Vanasthali National Park,Melkote Park,Public Garden Park,Rural Technology Park,Sanjeevaiah Park,Saroor Nagar Park,Sundarayya Park,lake view park
0,1,0.028,0.003,-0.002,0.005,0.008,0.003,-0.003,-0.001,0.002,-0.002,0.007,-0.003,-0.001,0.006
1,2,0.1085,0.1785,0.1825,0.1385,0.194,0.1215,0.16599999999999998,0.176,0.1845,0.146,0.20550000000000002,0.183,0.20450000000000002,0.1345
2,3,0.1065,0.176,0.181,0.161,0.1915,0.1315,0.151,0.168,0.178,0.153,0.20650000000000002,0.175,0.1875,0.112
3,4,0.11149999999999999,0.1985,0.20450000000000002,0.178,0.20650000000000002,0.143,0.16549999999999998,0.184,0.1975,0.155,0.219,0.1945,0.1975,0.1575
4,5,0.10600000000000001,0.2125,0.212,0.183,0.1955,0.144,0.2195,0.198,0.21700000000000003,0.16949999999999998,0.247,0.1985,0.222,0.14450000000000002
5,6,0.0605,0.10200000000000001,0.08,0.1135,0.1315,0.0745,0.1535,0.079,0.08499999999999999,0.0865,0.134,0.10999999999999999,0.0975,0.0675
6,8,0.11249999999999999,0.1105,0.26549999999999996,0.108,0.2445,0.068,0.246,0.212,0.16,0.20800000000000002,0.178,0.06,0.27649999999999997,0.123
7,10,0.262,0.242,0.232,0.202,0.257,0.158,0.312,0.225,0.234,0.251,0.276,0.217,0.246,0.272
8,11,0.222,0.225,0.224,0.187,0.236,0.148,0.293,0.215,0.227,0.228,0.252,0.219,0.229,0.272
9,12,0.14450000000000002,0.20700000000000002,0.1975,0.17099999999999999,0.22149999999999997,0.1375,0.2475,0.1825,0.20950000000000002,0.1845,0.2345,0.1775,0.191,0.183
