,month,Biodiversity Park,Chacha Nehru Park,Imlibun Park,Jalagam Vengal Rao Park,Krishnakanth Park,Lumbini Park,Mahavir Harina Vanasthali National Park,Melkote Park,Public Garden Park,Rural Technology Park,Sanjeevaiah Park,Saroor Nagar Park,Sundarayya Park,lake view park
0,1,0.124,0.16649999999999998,0.16499999999999998,0.1235,0.16749999999999998,0.127,0.1825,0.1585,0.14500000000000002,0.14100000000000001,0.194,0.174,0.16649999999999998,0.0935
1,2,0.11349999999999999,0.1645,0.164,0.14,0.168,0.1285,0.154,0.14450000000000002,0.1475,0.137,0.1995,0.186,0.164,0.10250000000000001
2,3,0.1125,0.16749999999999998,0.177,0.14150000000000001,0.1655,0.139,0.1345,0.14300000000000002,0.15050000000000002,0.14250000000000002,0.193,0.184,0.1565,0.11699999999999999
3,4,0.149,0.2455,0.1925,0.1875,0.23149999999999998,0.16999999999999998,0.1855,0.1825,0.1835,0.167,0.2535,0.2315,0.20400000000000001,0.146
4,5,0.086,0.16849999999999998,0.219,0.1315,0.159,0.174,0.147,0.1515,0.192,0.153,0.1735,0.2235,0.22,0.15050000000000002
5,6,0.161,0.21600000000000003,0.218,0.1905,0.219,0.1495,0.267,0.1975,0.194,0.214,0.217,0.2575,0.21450000000000002,0.1385
6,8,0.041,0.094,0.042,0.033,0.195,0.152,0.147,0.14,0.18,0.231,0.121,0.211,0.122,0.128
7,9,0.1815,0.1835,0.1535,0.179,0.1665,0.1565,0.2565,0.16999999999999998,0.16,0.20199999999999999,0.2525,0.1355,0.17099999999999999,0.121
8,10,0.22349999999999998,0.2725,0.218,0.1865,0.242,0.1575,0.22599999999999998,0.164,0.236,0.2495,0.275,0.1745,0.245,0.1385
9,11,0.177,0.2445,0.20500000000000002,0.1825,0.22699999999999998,0.1615,0.188,0.1955,0.222,0.19,0.247,0.2235,0.225,0.138
10,12,0.14,0.201,0.1735,0.15100000000000002,0.217,0.136,0.14950000000000002,0.173,0.191,0.158,0.219,0.17049999999999998,0.1855,0.1255
