,month,Biodiversity Park,Chacha Nehru Park,Imlibun Park,Jalagam Vengal Rao Park,Krishnakanth Park,Lumbini Park,Mahavir Harina Vanasthali National Park,Melkote Park,Public Garden Park,Rural Technology Park,Sanjeevaiah Park,Saroor Nagar Park,Sundarayya Park,lake view park
0,1,0.11499999999999999,0.1755,0.1605,0.1285,0.201,0.11499999999999999,0.119,0.1465,0.16699999999999998,0.1365,0.213,0.16899999999999998,0.1645,0.101
1,2,0.137,0.195,0.1925,0.154,0.224,0.1315,0.10300000000000001,0.166,0.192,0.1405,0.223,0.1935,0.184,0.1185
2,3,0.106,0.195,0.207,0.16849999999999998,0.2105,0.14200000000000002,0.103,0.172,0.184,0.14100000000000001,0.2315,0.1975,0.1985,0.134
3,4,0.1155,0.1745,0.1925,0.1555,0.188,0.131,0.1315,0.156,0.17149999999999999,0.131,0.199,0.1845,0.17049999999999998,0.1295
4,5,0.098,0.162,0.158,0.161,0.176,0.093,0.138,0.151,0.147,0.148,0.149,0.182,0.145,0.097
5,6,0.0895,0.146,0.14,0.155,0.1275,0.11950000000000001,0.1585,0.148,0.1235,0.08049999999999999,0.221,0.139,0.1785,0.1095
6,8,0.04,0.272,0.07,0.215,0.194,0.152,0.234,0.247,0.145,0.075,0.308,0.169,0.264,0.142
7,9,0.113,0.1725,0.1715,0.132,0.1865,0.1295,0.1845,0.1795,0.152,0.17099999999999999,0.185,0.1545,0.163,0.111
8,10,0.18100000000000002,0.166,0.1855,0.14300000000000002,0.20099999999999998,0.136,0.187,0.1745,0.182,0.19799999999999998,0.217,0.161,0.1815,0.126
9,11,0.20500000000000002,0.22449999999999998,0.1935,0.184,0.2225,0.131,0.27649999999999997,0.1755,0.20400000000000001,0.243,0.237,0.20450000000000002,0.1955,0.14100000000000001
10,12,0.141,0.198,0.1815,0.177,0.1725,0.1145,0.195,0.1955,0.194,0.173,0.2025,0.159,0.195,0.1085
