,month,Biodiversity Park,Chacha Nehru Park,Imlibun Park,Jalagam Vengal Rao Park,Krishnakanth Park,Lumbini Park,Mahavir Harina Vanasthali National Park,Melkote Park,Public Garden Park,Rural Technology Park,Sanjeevaiah Park,Saroor Nagar Park,Sundarayya Park,lake view park
0,1,0.128,0.20600000000000002,0.1935,0.224,0.217,0.133,0.17099999999999999,0.1805,0.188,0.172,0.23149999999999998,0.16499999999999998,0.2015,0.11449999999999999
1,2,0.10300000000000001,0.175,0.158,0.19899999999999998,0.2125,0.1195,0.11649999999999999,0.1285,0.18,0.157,0.21550000000000002,0.17149999999999999,0.201,0.1135
2,3,0.126,0.212,0.2315,0.295,0.2205,0.1505,0.1335,0.1805,0.20450000000000002,0.1755,0.2475,0.211,0.20700000000000002,0.14200000000000002
3,4,0.123,0.211,0.209,0.302,0.215,0.155,0.13,0.179,0.196,0.168,0.237,0.185,0.187,0.138
4,5,0.127,0.21050000000000002,0.202,0.305,0.21250000000000002,0.1515,0.134,0.1785,0.1995,0.16999999999999998,0.25,0.181,0.2145,0.16849999999999998
5,6,0.0935,0.092,0.186,0.08149999999999999,0.0795,0.1045,0.1385,0.07100000000000001,0.07250000000000001,0.11649999999999999,0.08650000000000001,0.1795,0.10250000000000001,0.08399999999999999
6,7,0.292,0.337,0.271,0.371,0.312,0.196,0.356,0.277,0.314,0.324,0.331,0.262,0.312,0.239
7,8,0.059,0.07999999999999999,0.0455,0.079,0.0985,0.081,0.08549999999999999,0.10949999999999999,0.0635,0.0905,0.124,0.041,0.101,0.083
8,9,0.218,0.011,0.231,0.025,0.279,0.192,0.328,0.255,0.003,0.322,0.314,0.259,0.278,0.219
9,10,0.225,0.198,0.22949999999999998,0.277,0.21750000000000003,0.16899999999999998,0.3095,0.2495,0.241,0.2855,0.277,0.1775,0.24,0.21000000000000002
10,11,0.236,0.25,0.198,0.249,0.254,0.152,0.294,0.213,0.216,0.252,0.268,0.206,0.219,0.15
11,12,0.16599999999999998,0.20550000000000002,0.194,0.23099999999999998,0.256,0.134,0.23149999999999998,0.1855,0.189,0.1985,0.22349999999999998,0.193,0.21000000000000002,0.134
