,month,Biodiversity Park,Chacha Nehru Park,Imlibun Park,Jalagam Vengal Rao Park,Krishnakanth Park,Lumbini Park,Mahavir Harina Vanasthali National Park,Melkote Park,Public Garden Park,Rural Technology Park,Sanjeevaiah Park,Saroor Nagar Park,Sundarayya Park,lake view park
0,1,0.125,0.16499999999999998,0.1605,0.138,0.21650000000000003,0.1205,0.189,0.15,0.1595,0.161,0.1945,0.1545,0.1785,0.1155
1,2,0.12,0.196,0.189,0.17,0.24,0.127,0.168,0.172,0.179,0.159,0.23,0.177,0.196,0.124
2,3,0.1145,0.1895,0.189,0.172,0.22199999999999998,0.138,0.1475,0.172,0.1755,0.158,0.215,0.1755,0.188,0.14250000000000002
3,4,0.1185,0.20350000000000001,0.1925,0.176,0.219,0.14550000000000002,0.1555,0.1815,0.193,0.16649999999999998,0.21800000000000003,0.1955,0.18,0.1815
4,5,0.20850000000000002,0.28049999999999997,0.2385,0.23349999999999999,0.264,0.1635,0.203,0.216,0.242,0.195,0.257,0.2485,0.213,0.187
5,6,0.22449999999999998,0.226,0.1925,0.233,0.274,0.148,0.2185,0.19,0.2215,0.27549999999999997,0.184,0.1845,0.17149999999999999,0.152
6,7,0.067,0.058,0.076,0.087,0.119,0.083,0.284,0.086,0.112,0.259,0.095,0.202,0.177,0.047
7,8,0.23199999999999998,0.14250000000000002,0.109,0.349,0.3075,0.183,0.32599999999999996,0.267,0.149,0.30600000000000005,0.3125,0.237,0.2795,0.09949999999999999
8,9,0.181,0.226,0.183,0.273,0.219,0.175,0.234,0.209,0.216,0.184,0.27,0.173,0.206,0.201
9,10,0.26649999999999996,0.247,0.218,0.194,0.20450000000000002,0.174,0.316,0.23299999999999998,0.19,0.2735,0.28400000000000003,0.2155,0.222,0.0975
10,11,0.021,0.073,0.062,0.066,0.083,0.082,0.049,0.032,0.077,0.013,0.036,0.019,0.05,0.101
11,12,0.11649999999999999,0.156,0.1585,0.14600000000000002,0.1795,0.132,0.203,0.16549999999999998,0.2,0.1345,0.1535,0.16949999999999998,0.1115,0.11449999999999999
