system:index,Biodiversity Park,Chacha Nehru Park,Imlibun Park,Jalagam Vengal Rao Park,Krishnakanth Park,Lumbini Park,Mahavir Harina Vanasthali National Park,Melkote Park,Public Garden Park,Rural Technology Park,Sanjeevaiah Park,Saroor Nagar Park,Sundarayya Park,date,lake view park,.geo
LC08_144048_20210113_0000000000000000000b,303,299,301,298,297,299,297,298,300,302,300,298,299,20210113,299,"{""type"":""Polygon"",""coordinates"":[[[78.47651313231061,17.4355310337901],[78.47663800582332,17.435513160779667],[78.47662014198296,17.435415071125348],[78.47677623368624,17.43539279635678],[78.47678958818753,17.435482002605468],[78.47682973839844,17.435477499406925],[78.4768476022021,17.4355845652312],[78.47653099616971,17.435633567094282],[78.47651313231061,17.4355310337901]]]}"
LC08_144048_20210129_0000000000000000000b,303,300,301,299,300,300,299,300,300,300,301,303,299,20210129,299,"{""type"":""Polygon"",""coordinates"":[[[78.47651313231061,17.4355310337901],[78.47663800582332,17.435513160779667],[78.47662014198296,17.435415071125348],[78.47677623368624,17.43539279635678],[78.47678958818753,17.435482002605468],[78.47682973839844,17.435477499406925],[78.4768476022021,17.4355845652312],[78.47653099616971,17.435633567094282],[78.47651313231061,17.4355310337901]]]}"
LC08_144048_20210214_0000000000000000000b,310,306,308,305,306,306,308,307,307,309,307,306,307,20210214,305,"{""type"":""Polygon"",""coordinates"":[[[78.47651313231061,17.4355310337901],[78.47663800582332,17.435513160779667],[78.47662014198296,17.435415071125348],[78.47677623368624,17.43539279635678],[78.47678958818753,17.435482002605468],[78.47682973839844,17.435477499406925],[78.4768476022021,17.4355845652312],[78.47653099616971,17.435633567094282],[78.47651313231061,17.4355310337901]]]}"
LC08_144048_20210302_0000000000000000000b,313,308,309,309,309,308,311,310,309,311,309,308,309,20210302,308,"{""type"":""Polygon"",""coordinates"":[[[78.47651313231061,17.4355310337901],[78.47663800582332,17.435513160779667],[78.47662014198296,17.435415071125348],[78.47677623368624,17.43539279635678],[78.47678958818753,17.435482002605468],[78.47682973839844,17.435477499406925],[78.4768476022021,17.4355845652312],[78.47653099616971,17.435633567094282],[78.47651313231061,17.4355310337901]]]}"
LC08_144048_20210318_0000000000000000000b,312,307,308,306,308,307,309,307,307,311,307,306,307,20210318,305,"{""type"":""Polygon"",""coordinates"":[[[78.47651313231061,17.4355310337901],[78.47663800582332,17.435513160779667],[78.47662014198296,17.435415071125348],[78.47677623368624,17.43539279635678],[78.47678958818753,17.435482002605468],[78.47682973839844,17.435477499406925],[78.4768476022021,17.4355845652312],[78.47653099616971,17.435633567094282],[78.47651313231061,17.4355310337901]]]}"
LC08_144048_20210403_0000000000000000000b,317,312,312,311,312,311,313,312,311,314,311,310,311,20210403,310,"{""type"":""Polygon"",""coordinates"":[[[78.47651313231061,17.4355310337901],[78.47663800582332,17.435513160779667],[78.47662014198296,17.435415071125348],[78.47677623368624,17.43539279635678],[78.47678958818753,17.435482002605468],[78.47682973839844,17.435477499406925],[78.4768476022021,17.4355845652312],[78.47653099616971,17.435633567094282],[78.47651313231061,17.4355310337901]]]}"
LC08_144048_20210419_0000000000000000000b,316,313,314,312,313,312,316,314,313,316,311,311,313,20210419,311,"{""type"":""Polygon"",""coordinates"":[[[78.47651313231061,17.4355310337901],[78.47663800582332,17.435513160779667],[78.47662014198296,17.435415071125348],[78.47677623368624,17.43539279635678],[78.47678958818753,17.435482002605468],[78.47682973839844,17.435477499406925],[78.4768476022021,17.4355845652312],[78.47653099616971,17.435633567094282],[78.47651313231061,17.4355310337901]]]}"
LC08_144048_20210505_0000000000000000000b,313,312,313,312,313,313,315,314,313,314,312,310,313,20210505,311,"{""type"":""Polygon"",""coordinates"":[[[78.47651313231061,17.4355310337901],[78.47663800582332,17.435513160779667],[78.47662014198296,17.435415071125348],[78.47677623368624,17.43539279635678],[78.47678958818753,17.435482002605468],[78.47682973839844,17.435477499406925],[78.4768476022021,17.4355845652312],[78.47653099616971,17.435633567094282],[78.47651313231061,17.4355310337901]]]}"
LC08_144048_20210521_0000000000000000000b,311,311,313,310,312,310,310,311,310,303,309,309,310,20210521,310,"{""type"":""Polygon"",""coordinates"":[[[78.47651313231061,17.4355310337901],[78.47663800582332,17.435513160779667],[78.47662014198296,17.435415071125348],[78.47677623368624,17.43539279635678],[78.47678958818753,17.435482002605468],[78.47682973839844,17.435477499406925],[78.4768476022021,17.4355845652312],[78.47653099616971,17.435633567094282],[78.47651313231061,17.4355310337901]]]}"
LC08_144048_20210606_0000000000000000000b,303,303,303,303,303,303,303,303,303,303,303,303,303,20210606,303,"{""type"":""Polygon"",""coordinates"":[[[78.47651313231061,17.4355310337901],[78.47663800582332,17.435513160779667],[78.47662014198296,17.435415071125348],[78.47677623368624,17.43539279635678],[78.47678958818753,17.435482002605468],[78.47682973839844,17.435477499406925],[78.4768476022021,17.4355845652312],[78.47653099616971,17.435633567094282],[78.47651313231061,17.4355310337901]]]}"
